,planet_name,hostname,sys_num_stars,sys_num_planet,discovery_method,discovery_year,discovery_telescope,orbital_period,orbital_semi_major,planet_radius_earth,planet_radius_jupiter,planet_mass_earth,planet_mass_jupiter,eccentricity,stellar_eff_temp,stellar_radius,stellar_mass,dist_system,dist_system_ly
2659,GJ 3138 c,GJ 3138,1,3,Radial Velocity,2017,3.6 m ESO Telescope,5.974,0.057,1.88,0.167,4.18,0.01315,0.11,3717.0,0.5,0.68,28.4712,92.8730544
2660,GJ 4276 b,GJ 4276,1,1,Radial Velocity,2019,3.5 m telescope,13.352,0.082,4.22,0.377,16.57,0.05213,0.37,3387.0,0.41,0.41,21.3362,69.59868440000001
2661,GJ 414 A b,GJ 414 A,2,2,Radial Velocity,2021,10 m Keck I Telescope,50.8,0.2324,2.63,0.235,7.6,0.02391,0.45,4120.0,0.68,0.65,11.8893,38.7828966
2662,GJ 649 b,GJ 649,1,1,Radial Velocity,2009,10 m Keck I Telescope,598.3,1.135,12.5,1.11,104.244,0.328,0.3,3700.0,0.5,0.54,10.3796,33.8582552
2663,GJ 667 C b,GJ 667 C,3,5,Radial Velocity,2011,3.6 m ESO Telescope,7.2004,0.0505,2.23,0.199,5.6,0.018,0.13,3350.0,,0.33,7.24396,23.62979752
2664,GJ 667 C c,GJ 667 C,3,5,Radial Velocity,2011,3.6 m ESO Telescope,28.14,0.125,1.77,0.158,3.8,0.012,0.02,3350.0,,0.33,7.24396,23.62979752
2665,GJ 667 C e,GJ 667 C,3,5,Radial Velocity,2013,3.6 m ESO Telescope,62.24,0.213,1.45,0.129,2.7,0.008,0.02,3350.0,,0.33,7.24396,23.62979752
2666,CoRoT-24 b,CoRoT-24,1,2,Transit,2014,0.27 m CoRoT Telescope,5.1134,0.056,3.7,0.33,5.7,0.018,0.0,4950.0,0.86,0.91,591.555,1929.65241
2667,WASP-67 b,WASP-67,1,1,Transit,2012,Canon 200mm f/1.8L,4.61442,0.05179,12.89,1.15,136.6669,0.43,0.0,5200.0,0.88,0.91,189.469,618.047878
2668,WASP-69 b,WASP-69,1,1,Transit,2014,Canon 200mm f/1.8L,3.86814,0.04525,12.442,1.11,92.1707,0.29,0.0,4700.0,0.86,0.98,49.9605,162.97115100000002
